chamber_id,n_cases
J:22J:27J:28,1
J:22J:28J:29,1
J:22J:29J:31,1
J:22J:32J:33,1
J:23J:25J:27,1
J:27J:28J:30,49
J:27J:28J:31,3
J:27J:30J:31,17
J:27J:30J:35,2
J:27J:30J:36,1
J:27J:31J:38,1192
J:27J:31J:39,779
J:27J:35J:36,1
J:27J:36J:39,1
J:27J:38J:39,4
J:28J:29J:30,49
J:28J:30J:31,40
J:28J:30J:32,5
J:28J:31J:32,8
J:28J:31J:33,5
J:28J:31J:39,4
J:28J:32J:33,1197
J:28J:32J:34,3
J:28J:32J:37,1000
J:28J:33J:34,3
J:28J:33J:35,6
J:28J:33J:37,11
J:28J:33J:38,4
J:28J:34J:35,112
J:28J:34J:37,1741
J:28J:37J:38,62
J:29J:30J:31,31
J:29J:30J:32,4
J:29J:30J:33,1
J:29J:30J:34,2
J:29J:30J:35,14
J:29J:30J:36,3
J:29J:30J:39,1217
J:29J:31J:32,2
J:29J:31J:33,10
J:29J:31J:38,642
J:29J:31J:39,1
J:29J:31J:45,6
J:29J:32J:33,2
J:29J:32J:37,1
J:29J:32J:38,4
J:29J:33J:38,3
J:29J:34J:35,18
J:29J:36J:48,1
J:30J:31J:32,10
J:30J:31J:33,4
J:30J:31J:34,3
J:30J:31J:35,6
J:30J:31J:39,173
J:30J:32J:33,6
J:30J:32J:35,1
J:30J:34J:36,1
J:30J:35J:36,1777
J:30J:35J:39,81
J:30J:36J:38,13
J:30J:36J:39,1747
J:30J:36J:44,20
J:30J:36J:45,3
J:30J:36J:46,2
J:30J:44J:46,1
J:31J:32J:33,362
J:31J:32J:37,139
J:31J:32J:38,10
J:31J:32J:39,4
J:31J:33J:38,1331
J:31J:33J:39,5
J:31J:34J:39,4
J:31J:35J:36,2
J:31J:35J:39,159
J:31J:36J:39,3
J:31J:37J:38,1
J:31J:37J:39,5
J:31J:38J:39,4
J:32J:33J:35,61
J:32J:33J:37,3
J:32J:33J:38,1828
J:32J:33J:43,65
J:32J:33J:44,1
J:32J:34J:35,21
J:32J:34J:38,1
J:32J:35J:37,4
J:32J:37J:43,4
J:32J:43J:48,1
J:33J:34J:35,8
J:33J:34J:37,3
J:33J:34J:38,2
J:33J:37J:38,7
J:34J:35J:36,1309
J:34J:35J:37,1773
J:34J:35J:39,16
J:34J:35J:46,7
J:34J:35J:47,3
J:34J:35J:48,2
J:34J:36J:39,1
J:35J:36J:39,2
J:35J:36J:46,1
J:35J:36J:48,1
J:35J:37J:39,3
J:36J:38J:39,4
