chamber_number,judge_name,judge_id,start_date,end_date,position
3rd,Pavel Holländer,J:17,2003-08-21,2006-01-01,court vicechair
1st,Eliška Wagnerová,J:14,2003-08-21,2004-09-14,court vicechair
2nd,Pavel Rychetský,J:42,2003-10-01,2003-12-18,court chair
2nd,Jan Musil,J:27,2003-02-02,2003-12-18,judge
4th,Pavel Rychetský,J:42,2004-03-29,2004-09-16,court chair
4th,Eliška Wagnerová,J:14,2004-09-16,2005-08-10,court vicechair
1st,Pavel Holländer,J:17,2012-06-07,2013-05-03,court vicechair
3rd,Pavel Rychetský,J:42,2013-01-29,2013-05-10,court chair
2nd,Jaroslav Fenyk,J:40,2013-08-29,2013-11-29,court vicechair
3rd,Jaroslav Fenyk,J:40,2013-11-27,2014-01-22,court vicechair
4th,Pavel Rychetský,J:42,2015-08-12,2015-10-09,court chair
3rd,Vojtěch Šimíček,J:34,2023-05-04,2023-06-06,court vicechair
1st,Josef Baxa,J:44,2024-01-01,2024-06-26,court chair
2nd,Kateřina Ronovská,J:47,2024-01-01,2024-12-31,court vicechair
3rd,Vojtěch Šimíček,J:34,2024-01-01,2024-06-26,court vicechair
4th,Vojtěch Šimíček,J:34,2024-01-01,2024-06-26,court vicechair
1st,Veronika Křesťanová,J:48,2024-06-27,2024-12-31,court vicechair
3rd,Josef Baxa,J:44,2024-06-27,2024-12-31,court chair
4th,Veronika Křesťanová,J:48,2024-06-27,2024-12-31,court vicechair
